Org,Api,Status,Count
Clicky,Tracking API LIVE (REST),500,724760
Suggero360 UK Ltd,Tracking API LIVE (SOAP),500 Internal Server Error,43636
sinotrans,Tracking API LIVE (SOAP),200 OK,33974
winit,Tracking API LIVE (SOAP),200 OK,3405
Eretail Distribution Ltd,Tracking API LIVE (SOAP),500 Internal Server Error,90988
Monitoring,Tracking API LIVE (SOAP),500 Internal Server Error,280
winit,Tracking API LIVE (SOAP),500 Internal Server Error,8137
Pitney Bowes,Tracking API LIVE (SOAP),200 OK,52134
Clicky,Tracking API LIVE (REST),200,140721
Eretail Distribution Ltd,Tracking API LIVE (SOAP),200 OK,16192
Suggero360 UK Ltd,Tracking API LIVE (SOAP),200 OK,58464
Monitoring,Tracking API LIVE (SOAP),200 OK,504
Test,Local Collect API (REST),200,1933
Monitoring,Echo,200,1812
sinotrans,Tracking API LIVE (SOAP),500 Internal Server Error,1230
Monitoring,Local Collect API LIVE (REST),401,191
Monitoring,Local Collect API LIVE (REST),201,192
DTDC Courier & Cargo UK Ltd,Tracking API LIVE (SOAP),500 Internal Server Error,3907
DTDC Courier & Cargo UK Ltd,Tracking API LIVE (SOAP),200 OK,724
Monitoring,Local Collect API LIVE (REST),200,384
SMART MEN'S CLUB SA,Shipping API V2 Live (SOAP),200 OK,5759
Pitney Bowes,Tracking API LIVE (SOAP),500 Internal Server Error,2566
Monitoring,Shipping API V2 Live (SOAP),401,96
Monitoring,Shipping API V2 Live (SOAP),200 OK,864
Monarch Software,Shipping API V2 Live (SOAP),200 OK,4120
SMART MEN'S CLUB SA,Tracking API LIVE (SOAP),500 Internal Server Error,373
Monitoring,Delivery Office Finder API (REST),401,112
Monitoring,Delivery Office Finder API (REST),200 OK,110
SMART MEN'S CLUB SA,Tracking API LIVE (SOAP),200 OK,347
Monitoring,Shipping API V1 Live (SOAP),401,96
Monitoring,Shipping API V1 Live (SOAP),200 OK,576
Monitoring,Local Collect API Live (SOAP),401,144
Monitoring,Local Collect API Live (SOAP),200 OK,288
Neopost,Local Collect API (SOAP),200 OK,137
Monitoring,PFW Tracking API (SOAP) LIVE,401,97
Monitoring,PFW Tracking API (SOAP) LIVE,200 OK,194
Monitoring,Tracking API LIVE (REST),401,190
Monitoring,Tracking API LIVE (REST),200,301
Monitoring,Tracking API LIVE (REST),500,269
Monitoring,Online Postage API LIVE (SOAP),401,192
Monitoring,Online Postage API LIVE (SOAP),500 Internal Server Error,192
Monitoring,Tracking API LIVE (SOAP),401,178
europe,Shipping API V2 Live (SOAP),200 OK,580
Monitoring,Online Postage API V1 (SOAP),401,48
Monitoring,Shipping API V2 (SOAP),401,96
Monitoring,Online Postage API V1 (SOAP),500 Internal Server Error,48
Monitoring,Shipping API V2 (SOAP),200 OK,864
Monitoring,Tracking API (REST),401,46
Monitoring,Tracking API (REST),500,138
Cornerstone,Tracking API LIVE (REST),500,56772
First Class Watches Limited,Tracking API LIVE (SOAP),200 OK,555
First Class Watches Limited,Tracking API LIVE (SOAP),500 Internal Server Error,76
Cornerstone,Tracking API LIVE (REST),200,27014
Group International Ltd,Tracking API LIVE (SOAP),200 OK,1878
Group International Ltd,Tracking API LIVE (SOAP),500 Internal Server Error,357
Monarch Software,Shipping API V2 Live (SOAP),500 Internal Server Error,45
Monitoring,Local Collect API (REST),401,12
Monitoring,Local Collect API (REST),500,12
Monitoring,Local Collect API (REST),200,24
Direction Software Solutions,Tracking API LIVE (SOAP),500 Internal Server Error,15
RMG,Tracking API LIVE (SOAP),200 OK,2114
RMG,Tracking API LIVE (SOAP),500 Internal Server Error,715
Monitoring,Tracking API (SOAP),401,46
Monitoring,Tracking API (SOAP),200 OK,184
Monitoring,Local Collect API (SOAP),401,48
Monitoring,Local Collect API (SOAP),200 OK,96
Zoom FS,Shipping API V2 Live (SOAP),200 OK,1529
The Alchemists Cupboard Ltd,Shipping API V2 Live (SOAP),200 OK,53
Zoom FS,Shipping API V2 Live (SOAP),500 Internal Server Error,601
SMART MEN'S CLUB SA,Shipping API V2 Live (SOAP),500 Internal Server Error,9
First Class Watches Limited,Local Collect API LIVE (REST),201,7
First Class Watches Limited,Local Collect API LIVE (REST),200,16
Monitoring,Shipping API V1 (SOAP),401,12
Monitoring,Shipping API V1 (SOAP),200 OK,72
Yakelo,Tracking API LIVE (REST),500,13620
Yakelo,Tracking API LIVE (REST),200,3981
MOO,Shipping API V2 Live (SOAP),200 OK,1194
Test,Local Collect API (REST),500,19
Lindex AB,Local Collect API (REST),200,6
Sound in Theory,Tracking API LIVE (REST),200,307
Sound in Theory,Tracking API LIVE (REST),500,486
Enru Technology,Local Collect API LIVE (REST),200,3
Mainline Menswear Ltd,Shipping API V2 Live (SOAP),200 OK,137
Flaydemouse,Tracking API LIVE (REST),200,8
Barnsoft Limited T/A Green Knight Games,Shipping API V2 (SOAP),200 OK,2
eTail Support,Shipping API V2 Live (SOAP),200 OK,4
Hunterfield Ltd,Shipping API V2 Live (SOAP),200 OK,18
Impishfish Ltd,Shipping API V2 (SOAP),200 OK,43
ALPOL PrzemysÅ‚aw Lepiarz,Shipping API V2 Live (SOAP),200 OK,79
,Tracking API LIVE (REST),401,30
Health Team Ltd (t/a knowmalaria),Shipping API V2 Live (SOAP),200 OK,6
Abercrombie & Fitch,Shipping API V2 Live (SOAP),500 Internal Server Error,2
Abercrombie & Fitch,Shipping API V2 Live (SOAP),200 OK,211
Danyoung1983+Test2016-RM01,Shipping API V2 Live (SOAP),200 OK,1214
Danyoung1983+Test2016-RM01,Shipping API V2 Live (SOAP),500 Internal Server Error,20
Qualtex UK,Shipping API V2 Live (SOAP),200 OK,1051
Zasilkovna,Shipping API V2 (SOAP),200 OK,23
,Shipping API V2 (SOAP),200 OK,76
Zasilkovna,Shipping API V2 (SOAP),500 Internal Server Error,35
,Shipping API V2 Live (SOAP),401,73
Complete Care Network Ltd,Shipping API V2 Live (SOAP),200 OK,939
JMTI LTD,Shipping API V2 (SOAP),200 OK,4
Remarkable Internet Limited,Shipping API V2 Live (SOAP),200 OK,606
RMG Onboarding,Shipping API V2 Live (SOAP),401,4
KiJo,Shipping API V2 (SOAP),500 Internal Server Error,9
Marks and Spencer,Shipping API V2 (SOAP),200 OK,35
Eos Leisure Limited,Shipping API V2 Live (SOAP),200 OK,574
RMG Onboarding,PFW Tracking API (SOAP),500,1
RMG Onboarding,PFW Tracking API (SOAP) LIVE,200 OK,1
Complete Care Network Ltd,Shipping API V2 Live (SOAP),500 Internal Server Error,36
,PFW Tracking API (SOAP),401,4
Holbi Group Ltd,Shipping API V2 (SOAP),500 Internal Server Error,2
MOO,Shipping API V2 Live (SOAP),500 Internal Server Error,1
Hugo and Cat,Delivery Office Finder API (REST),200 OK,17
RMG Onboarding,Local Collect API (REST),200,2
Crisp Webdesign Ltd,Shipping API V2 Live (SOAP),200 OK,21
Holbi Group Ltd,Shipping API V2 (SOAP),200 OK,16
feelunique.com,Shipping API V2 (SOAP),200 OK,20
Monitoring,Shipping API V2 Live (SOAP),500 Internal Server Error,2
Pure Luxuries London Ltd,Shipping API V2 Live (SOAP),200 OK,451
