Org,Api,Count,Ok200,Error5X,SuccessPercent
Clicky,Tracking API LIVE (REST),17896,2923,14973,0
Pitney Bowes,Tracking API LIVE (SOAP),1794,1722,72,0
sinotrans,Tracking API LIVE (SOAP),938,904,34,0
Eretail Distribution Ltd,Tracking API LIVE (SOAP),2164,308,1856,0
Yakelo,Tracking API LIVE (REST),1429,334,1095,0
Monitoring,Tracking API LIVE (SOAP),21,11,6,0
Suggero360 UK Ltd,Tracking API LIVE (SOAP),4735,2398,2337,0
Test,Local Collect API (REST),30,30,0,0
Monitoring,Echo,38,38,0,0
Monitoring,Local Collect API LIVE (REST),16,8,0,0
SMART MEN'S CLUB SA,Shipping API V2 Live (SOAP),120,120,0,0
DTDC Courier & Cargo UK Ltd,Tracking API LIVE (SOAP),46,7,39,0
Monitoring,Shipping API V2 Live (SOAP),20,18,0,0
SMART MEN'S CLUB SA,Tracking API LIVE (SOAP),15,5,10,0
Monitoring,Delivery Office Finder API (REST),6,3,0,0
Cornerstone,Tracking API LIVE (REST),1,1,0,0
europe,Shipping API V2 Live (SOAP),10,10,0,0
Monarch Software,Shipping API V2 Live (SOAP),43,43,0,0
Monitoring,Local Collect API Live (SOAP),9,6,0,0
Monitoring,Shipping API V1 Live (SOAP),14,12,0,0
Neopost,Local Collect API (SOAP),2,2,0,0
Monitoring,PFW Tracking API (SOAP) LIVE,6,4,0,0
Monitoring,Tracking API LIVE (REST),16,6,6,0
Monitoring,Online Postage API LIVE (SOAP),8,0,4,0
Monitoring,Shipping API V2 (SOAP),20,18,0,0
The Alchemists Cupboard Ltd,Shipping API V2 Live (SOAP),1,1,0,0
Monitoring,Local Collect API (SOAP),6,4,0,0
Monitoring,Tracking API (SOAP),10,8,0,0
Monitoring,Shipping API V1 (SOAP),7,6,0,0
winit,Tracking API LIVE (SOAP),323,104,219,0
